cluster_id,n_articles,tfidf_label
9,220,"gma news, news online, post shared"
-1,177,(noise)
26,48,"gma news, news online, net income"
24,31,"vice president, sara duterte, gma news"
25,30,"news online, gma news, new year"
4,28,"la salle, news online, gma news"
32,26,"national budget, marcos said, flood control"
7,26,"cloudy skies, partly cloudy, shear line"
28,24,"philippine navy, philippine sea, west philippine"
10,24,"metro manila, food security, tiu laurel"
42,23,"nbi said, gma news, news online"
29,23,"metro manila, quezon city, new year"
27,23,"gun ban, brigadier general, gma news"
38,22,"drug war, human rights, gma news"
16,20,"gma news, news online, adolescent pregnancy"
37,20,"coast guard, pcg said, brp cabra"
46,20,"coast guard, bajo masinloc, ayungin shoal"
15,19,"new year, gma news, news online"
33,19,"cha cha, senate president, dela rosa"
40,19,"cacdac said, migrant workers, los angeles"
35,19,"motorcycle taxis, motorcycle taxi, metro manila"
13,18,"cloudy skies, rain showers, metro manila"
41,18,"birth certificates, gma news, news online"
6,18,"mary jane, jane veloso, news online"
45,18,"south china, china sea, coast guard"
44,17,"doj said, arrest order, department justice"
8,16,"paris olympics, tolentino said, news online"
36,16,"united states, world health, donald trump"
20,15,"jo workers, senior citizens, 4ps beneficiaries"
21,15,"gentleman agreement, new model, sierra madre"
0,15,"heat index, degrees celsius, air temperature"
19,14,"public schools, news online, gma news"
12,14,"cloudy skies, rest country, rain showers"
1,14,"tropical storm, pagasa said, coastal waters"
31,13,"czech republic, marcos said, free trade"
30,13,"united states, china sea, south china"
23,13,"ngcp said, power interruptions, quezon city"
5,12,"asean championship, makati fc, training camp"
3,12,"los angeles, hollis jefferson, game high"
43,11,"news online, gma news, sc said"
2,10,"kanlaon volcano, phivolcs said, taal volcano"
39,10,"south china, china sea, west philippine"
22,10,"coast guard, water cannon, scarborough shoal"
34,9,"metro manila, said lto, edsa busway"
14,9,"garcia said, printing ballots, supreme court"
18,9,"employed persons, labor force, virtual assistant"
17,8,"ministry said, gaza strip, health ministry"
11,8,"south korea, martial law, south korean"
